vectors_count;rejection_count;fi;passes;fails;fixes;unrecoverable;q for fi
24;error 1;f0;23;1;1;0;1.294077e-04
24;error 1;f1;23;1;0;1;1.692322e-04
24;error 1;f2;23;1;0;1;1.692322e-04
24;error 1;f3;22;2;0;2;5.874399e-04
276;error 2;f0;250;26;17;9;7.961201e-07
276;error 2;f1;251;25;0;25;9.424673e-07
276;error 2;f2;251;25;0;25;9.424673e-07
276;error 2;f3;230;46;0;46;2.484397e-06
886;error 3;f0;721;165;71;94;1.143484e-09
886;error 3;f1;762;124;0;124;9.895174e-10
886;error 3;f2;763;123;0;123;8.674626e-10
886;error 3;f3;662;224;0;224;2.346062e-09
886;error 4;f0;682;204;60;144;2.824449e-13
886;error 4;f1;707;179;0;179;3.372734e-13
886;error 4;f2;704;182;0;182;2.610626e-13
886;error 4;f3;577;309;0;309;5.360682e-13
